seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω	δ
1	2	0.00038941783168799926	7.693845560652335e-14	0.002364063740887934	0.002364063740888378	0.002364063740887934	0.0023359678149124097	0.0023597514967574895	10.0	6.0	0.02	4.4	0.3
2	2	0.00043211898319706066	6.705747068735946e-14	0.0025163131567894625	0.0025163131567899066	0.0025163131567899066	0.002525959903136643	0.0025126900411266417	10.0	6.0	0.02	4.4	0.3
3	2	3.799898530021384e-5	1.0658141036401503e-14	0.0002679429047707238	0.0002679429047711679	0.0002679429047711679	0.000261697191548671	0.0002660259425003586	10.0	6.0	0.02	4.4	0.3
4	2	0.0002014565637967758	1.4210854715202004e-14	0.0014854521521121544	0.0014854521521121544	0.0014854521521121544	0.0014689312665319143	0.0014792027567013255	10.0	6.0	0.02	4.4	0.3
5	2	0.0004457089070096787	1.2656542480726785e-13	0.002805130141638079	0.002805130141637857	0.002805130141638079	0.002802511547681963	0.002803646222869327	10.0	6.0	0.02	4.4	0.3
6	2	0.0003922687834285732	9.64783808399261e-14	0.0025067529964981627	0.0025067529964979407	0.002506752996498385	0.0024811984621345706	0.0025025470251321957	10.0	6.0	0.02	4.4	0.3
7	2	0.0003910209346448257	3.3639757646142243e-14	0.0021262170003493175	0.0021262170003495395	0.0021262170003495395	0.002107048986456417	0.002123411841802425	10.0	6.0	0.02	4.4	0.3
8	2	0.0003071428568209855	3.7414515929867775e-14	0.0026925723025945647	0.0026925723025945647	0.0026925723025945647	0.00266443545384909	0.0026915726899917614	10.0	6.0	0.02	4.4	0.3
9	2	0.0005636065787162359	5.562217353372034e-14	0.0034303590611466372	0.003430359061146415	0.003430359061146415	0.00343256093648725	0.0034285340397576247	10.0	6.0	0.02	4.4	0.3
0	4	0.00033652848727161455	1.0547118733938987e-14	0.0012931668003649532	0.0012931668003651753	0.0012931668003651753	0.0012844253117229032	0.0012934111599494091	10.0	6.0	0.02	4.4	0.3
1	4	0.00038941783168799926	7.693845560652335e-14	0.0014201466231360538	0.0014201466231358317	0.0014201466231360538	0.001415098576878937	0.0014207491266547967	10.0	6.0	0.02	4.4	0.3
2	4	0.00043211898319706066	6.705747068735946e-14	0.0016247177512611621	0.0016247177512616062	0.0016247177512616062	0.0016081007297693573	0.001623926648302576	10.0	6.0	0.02	4.4	0.3
3	4	3.799898530021384e-5	1.0658141036401503e-14	0.00017393602706849975	0.0001739360270682777	0.00017393602706849975	0.00016756954722862982	0.0001748145613155172	10.0	6.0	0.02	4.4	0.3
