seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω	δ
7	8192	0.0003910209346448257	3.3639757646142243e-14	0.0	-4.440892098500626e-16	0.0	-4.440892098500626e-16	0.0	10.0	6.0	0.02	4.4	0.3
8	8192	0.0003071428568209855	3.7414515929867775e-14	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
9	8192	0.0005636065787162359	5.562217353372034e-14	4.440892098500626e-16	2.220446049250313e-16	0.0	4.440892098500626e-16	2.220446049250313e-16	10.0	6.0	0.02	4.4	0.3
0	16384	0.00033652848727161455	1.0547118733938987e-14	-4.440892098500626e-16	0.0	0.0	-4.440892098500626e-16	-4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
1	16384	0.00038941783168799926	7.693845560652335e-14	0.0	0.0	-4.440892098500626e-16	-4.440892098500626e-16	0.0	10.0	6.0	0.02	4.4	0.3
2	16384	0.00043211898319706066	6.705747068735946e-14	-4.440892098500626e-16	-4.440892098500626e-16	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
3	16384	3.799898530021384e-5	1.0658141036401503e-14	0.0	-4.440892098500626e-16	-4.440892098500626e-16	-4.440892098500626e-16	-4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
4	16384	0.0002014565637967758	1.4210854715202004e-14	0.0	0.0	-4.440892098500626e-16	0.0	0.0	10.0	6.0	0.02	4.4	0.3
5	16384	0.0004457089070096787	1.2656542480726785e-13	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
6	16384	0.0003922687834285732	9.64783808399261e-14	0.0	0.0	0.0	-4.440892098500626e-16	-4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
7	16384	0.0003910209346448257	3.3639757646142243e-14	0.0	2.220446049250313e-16	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
8	16384	0.0003071428568209855	3.7414515929867775e-14	0.0	4.440892098500626e-16	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
9	16384	0.0005636065787162359	5.562217353372034e-14	4.440892098500626e-16	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
0	32768	0.00033652848727161455	1.0547118733938987e-14	0.0	0.0	0.0	0.0	-4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
1	32768	0.00038941783168799926	7.693845560652335e-14	-4.440892098500626e-16	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
2	32768	0.00043211898319706066	6.705747068735946e-14	-4.440892098500626e-16	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
3	32768	3.799898530021384e-5	1.0658141036401503e-14	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
4	32768	0.0002014565637967758	1.4210854715202004e-14	0.0	0.0	0.0	0.0	0.0	10.0	6.0	0.02	4.4	0.3
5	32768	0.0004457089070096787	1.2656542480726785e-13	2.220446049250313e-16	0.0	-4.440892098500626e-16	0.0	0.0	10.0	6.0	0.02	4.4	0.3
6	32768	0.0003922687834285732	9.64783808399261e-14	0.0	0.0	-4.440892098500626e-16	-4.440892098500626e-16	0.0	10.0	6.0	0.02	4.4	0.3
7	32768	0.0003910209346448257	3.3639757646142243e-14	0.0	0.0	0.0	0.0	-4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
8	32768	0.0003071428568209855	3.7414515929867775e-14	0.0	0.0	0.0	2.220446049250313e-16	0.0	10.0	6.0	0.02	4.4	0.3
9	32768	0.0005636065787162359	5.562217353372034e-14	0.0	2.220446049250313e-16	0.0	0.0	4.440892098500626e-16	10.0	6.0	0.02	4.4	0.3
