seed	numsteps	FI	F_Direct	F_Lanczos	F_Rotate_K	F_Prediag_1K	F_Prediag_2K	F_Rotate_T	F_Prediag_1T	F_Prediag_2T	n	m	pulseseed	T	ν	Ω	W	σν	σΩ	σW	deviceseed	ω	δ	g	σC	σω	σδ	σg
0	2	0.02740462751759709	0.0006754999454964272	0.0006754999454962052	0.0006754999454965382	0.0006614243038381984	0.0006756364478067711	0.0006754999454965382	0.0006614243038381984	0.0006756364478065491	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
1	2	0.03137195217055233	0.00068522757193068	0.0006852275719302359	0.0006852275719304579	0.0007182610510806375	0.0006853763171705829	0.0006852275719302359	0.0007182610510804155	0.0006853763171708049	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
2	2	0.03199081858071284	0.0006333361941510685	0.0006333361941506244	0.0006333361941508464	0.0006577167470224188	0.0006335889556697838	0.0006333361941506244	0.0006577167470224188	0.0006335889556697838	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
3	2	0.02812687646914891	0.0005934128616045253	0.0005934128616040812	0.0005934128616043033	0.0006232120810154562	0.0005935503052810764	0.0005934128616040812	0.0006232120810156783	0.0005935503052812985	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
4	2	0.034256706690381056	0.0004902042532521911	0.0004902042532521911	0.0004902042532521911	0.0005103078091781565	0.0004903306246106798	0.0004902042532521911	0.0005103078091779345	0.0004903306246106798	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
5	2	0.030841508247599236	0.0006838464278330347	0.0006838464278330347	0.0006838464278327017	0.0007208927626966011	0.0006847973355462722	0.0006838464278329237	0.0007208927626968231	0.0006847973355462722	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
6	2	0.026706860844592617	0.0006191439659125608	0.0006191439659123388	0.0006191439659125608	0.0006482437012800268	0.000619060611403599	0.0006191439659127829	0.0006482437012800268	0.000619060611403599	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
7	2	0.03348462043258149	0.0006754366653509702	0.0006754366653505262	0.0006754366653507482	0.0006786750986584877	0.0006757388724795144	0.0006754366653507482	0.0006786750986584877	0.0006757388724792923	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
8	2	0.025804868010766313	0.0006594405227530187	0.0006594405227530187	0.0006594405227527966	0.0006738378866224526	0.0006596969695407129	0.0006594405227530187	0.0006738378866222305	0.0006596969695404908	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
9	2	0.03285359010982636	0.0006503639118144999	0.0006503639118144999	0.0006503639118144999	0.0006714667111855643	0.0006508588164506612	0.0006503639118144999	0.0006714667111853423	0.0006508588164506612	6	2	14522083055399744269	10.0	5.0	0.02	1	0.5555555555555556	true	nothing	9554663035758824981	5.0	0.3	0.02	nothing	0.5555555555555556	0.03333333333333333	0.0022222222222222222
