seed	numsteps	FI	F_ODE	F_Direct	F_Lanczos	F_Rotate	F_Prediag_1	F_Prediag_2	T	ν	Ω	ω
1	2	0.0005173775154737603	4.773959005888173e-15	0.0030740350908402547	0.0030740350908402547	0.0030740350908400327	0.003066308868460599	0.0030753506259646457	10.0	6.0	0.02	4.4
2	2	0.0005735133935329539	2.55351295663786e-15	0.0034104704113202544	0.0034104704113200324	0.0034104704113202544	0.0034086043403462885	0.0034076849376438734	10.0	6.0	0.02	4.4
3	2	0.0005822897041862785	3.6637359812630166e-15	0.003462511923673084	0.003462511923673084	0.003462511923673306	0.0034595213083310483	0.0034628356830199714	10.0	6.0	0.02	4.4
4	2	0.0005953892122355642	5.551115123125783e-16	0.0035481176093062894	0.0035481176093062894	0.0035481176093062894	0.0035597816074198763	0.003547472570722743	10.0	6.0	0.02	4.4
5	2	0.0006122530474590437	3.9968028886505635e-15	0.003641742323595376	0.003641742323595598	0.003641742323595376	0.0036410768078759537	0.003639977904443925	10.0	6.0	0.02	4.4
6	2	0.00048767681174965993	3.552713678800501e-15	0.0029017079962385672	0.0029017079962385672	0.0029017079962385672	0.0029025659739025933	0.0029033318067991365	10.0	6.0	0.02	4.4
7	2	0.000600186213559839	2.7755575615628914e-15	0.0035626865098133953	0.0035626865098133953	0.0035626865098133953	0.003546933638310934	0.0035622270050867932	10.0	6.0	0.02	4.4
8	2	0.0005410126865358356	4.440892098500626e-16	0.003232580199035495	0.003232580199035495	0.003232580199035495	0.0032599236700756595	0.003231915660867446	10.0	6.0	0.02	4.4
9	2	0.0005950520990272157	2.4424906541753444e-15	0.0035409495772725785	0.0035409495772728006	0.0035409495772730226	0.003543471770262707	0.003538637205223072	10.0	6.0	0.02	4.4
0	4	0.000581930523879115	0.0	0.002135188593226922	0.0021351885932267	0.002135188593226922	0.0021353442674909573	0.0021325762929924608	10.0	6.0	0.02	4.4
1	4	0.0005173775154737603	4.773959005888173e-15	0.0018972178553757768	0.0018972178553757768	0.0018972178553757768	0.0018936670530278477	0.0018947012236353311	10.0	6.0	0.02	4.4
2	4	0.0005735133935329539	2.55351295663786e-15	0.002102616667782664	0.002102616667783108	0.002102616667782886	0.0020956357089951805	0.0021003607186390605	10.0	6.0	0.02	4.4
3	4	0.0005822897041862785	3.6637359812630166e-15	0.0021348147828011976	0.0021348147828011976	0.0021348147828009756	0.0021287590593893624	0.002132138150616858	10.0	6.0	0.02	4.4
4	4	0.0005953892122355642	5.551115123125783e-16	0.0021816252611152054	0.0021816252611152054	0.0021816252611152054	0.0021703018204798363	0.002179048443509135	10.0	6.0	0.02	4.4
5	4	0.0006122530474590437	3.9968028886505635e-15	0.002244500133183447	0.002244500133183669	0.002244500133183669	0.0022368216632566718	0.00224195076863698	10.0	6.0	0.02	4.4
